Year,CO2,Coal,Oil,Gas,Nuclear,Solar,Wind
2000,3649201000.00 ,1304.07 ,241.33 ,24.63 ,16.74 ,0.02 ,0.59 
2001,3728513500.00 ,1377.90 ,245.67 ,28.35 ,17.47 ,0.03 ,0.72 
2002,4103042600.00 ,1492.40 ,258.38 ,29.29 ,25.13 ,0.05 ,0.84 
2003,4841118700.00 ,1778.79 ,281.52 ,34.96 ,43.34 ,0.06 ,1.00 
2004,5217351000.00 ,2042.69 ,329.97 ,41.36 ,50.47 ,0.08 ,1.28 
2005,5882143000.00 ,2345.02 ,334.00 ,46.57 ,53.09 ,0.08 ,1.95 
2006,6494338000.00 ,2608.76 ,353.83 ,57.30 ,54.84 ,0.09 ,3.71 
2007,6983576600.00 ,2820.62 ,367.26 ,70.48 ,62.13 ,0.11 ,5.48 
2008,7501498000.00 ,2919.88 ,375.39 ,81.19 ,68.39 ,0.15 ,13.10 
2009,7891089400.00 ,3158.01 ,382.56 ,89.45 ,70.05 ,0.28 ,27.61 
2010,8620627000.00 ,3349.52 ,400.54 ,125.14 ,74.74 ,0.70 ,49.40 
2011,9532409000.00 ,3695.18 ,419.31 ,131.27 ,87.20 ,2.61 ,74.10 
2012,9779355000.00 ,3831.72 ,438.23 ,147.24 ,98.32 ,3.59 ,103.05 
2013,9956376000.00 ,3975.10 ,461.20 ,167.47 ,111.50 ,8.37 ,138.26 
2014,9998674000.00 ,3897.51 ,478.09 ,184.49 ,133.22 ,23.51 ,159.76 
2015,9866952000.00 ,3794.40 ,512.28 ,191.80 ,171.38 ,39.48 ,185.59 
2016,9765029000.00 ,3754.23 ,527.49 ,207.89 ,213.18 ,66.53 ,240.86 
2017,10011151000.00 ,3795.24 ,552.63 ,237.79 ,248.10 ,117.80 ,304.60 
2018,10353934000.00 ,3848.29 ,595.20 ,278.52 ,295.00 ,176.90 ,365.80 
2019,10721042000.00 ,3898.63 ,616.96 ,302.68 ,348.70 ,224.00 ,405.30 
2020,10914012000.00 ,3947.81 ,631.97 ,321.77 ,366.20 ,261.10 ,466.50 
2021,11336233000.00 ,4184.33 ,652.20 ,361.99 ,407.50 ,327.00 ,655.80 
2022,11396777000.00 ,4554.08 ,658.07 ,357.65 ,417.80 ,427.72 ,762.70 
