Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,5.913606,4.664077,4.4281597,5.2076616,4.810372,6.153309,7.745364,9.177021,16.06334,26.701996,33.345337,42.00513,40.341312,33.458687,28.416525,32.743607,29.883818,29.559513,33.907795,30.314272,27.393118,27.13513,27.13513
Albania,28.731913,27.233145,29.497454,33.270126,35.486534,35.013653,32.967403,28.376635,30.99076,33.772945,36.060646,31.485647,30.809958,38.665195,34.059666,34.083374,39.827103,36.862617,42.032387,33.29553,31.988321,40.252644,40.252644
Algeria,299.94562,310.81296,321.9505,336.9221,349.7778,366.2715,379.22003,399.63977,423.55692,448.8593,438.99487,464.48825,507.67184,536.9768,585.6132,617.51807,616.9958,623.7946,669.61975,694.3489,648.8988,703.0685,684.86975
Angola,32.44806,35.23395,37.546337,41.6661,46.076923,39.229706,49.463192,56.854713,66.63688,75.82465,83.17874,87.199165,91.0689,101.91877,112.17697,116.99946,106.75158,101.83017,105.27903,118.654335,117.90763,96.311485,96.311485
Antigua and Barb.,2.1362836,2.1362836,2.2902532,2.40722,2.4967196,2.5349038,2.6126008,2.7379868,2.8008583,2.9345222,2.8373902,2.8294127,2.9076788,2.9079623,2.9732518,3.0433478,3.0876482,2.9374938,3.0266554,3.0427258,2.5749125,2.7469301,2.7469301
Argentina,698.77704,682.52423,654.4735,701.5056,744.8173,790.5074,830.5426,865.64545,877.17804,852.5108,883.96924,909.091,943.7065,981.39813,979.85767,996.94006,992.4242,991.3971,984.3456,927.35834,869.8289,965.67175,1000.97327
Australia,1305.2594,1315.3853,1341.745,1360.8622,1404.4441,1410.3502,1470.8378,1506.167,1531.7455,1509.5446,1508.8386,1558.6023,1536.113,1555.586,1566.4581,1601.5521,1606.7665,1601.9698,1625.465,1680.2556,1587.082,1592.5897,1661.1881
Austria,391.41565,405.3672,406.00693,410.25372,417.87033,425.45874,421.00882,411.99207,420.0093,406.84494,420.15656,396.06876,414.52417,411.2033,394.79803,394.84448,407.98352,417.2041,408.31296,429.02768,401.10193,403.64453,381.59094
Azerbaijan,132.05524,127.22747,125.608635,136.0352,153.89793,166.83739,164.09157,151.07112,152.39287,130.85686,128.94139,146.59703,151.16762,154.65224,157.28722,172.00467,170.48907,167.31532,171.54964,179.55202,183.10947,195.68216,194.1924
Bahamas,16.462984,16.77847,17.401783,12.155077,13.472551,12.954244,15.046233,17.3275,16.932302,12.729477,13.262927,11.710016,13.534001,12.594334,12.363687,11.819098,12.373412,14.754933,16.02692,16.035286,13.536436,14.459775,14.459775
Bahrain,111.877045,115.790276,123.547035,129.08144,133.71312,150.00446,160.05092,164.32755,172.0815,170.37105,172.23476,170.41501,183.07016,203.59215,201.82355,203.60542,203.15282,209.00795,211.63669,232.19562,230.62811,235.74854,235.74854
Bangladesh,136.12083,155.58499,156.0232,164.91588,175.07866,189.64735,205.20923,210.16739,222.28944,243.67596,250.17714,271.34033,294.77423,306.70013,318.27,385.2265,385.9961,403.53275,430.49335,482.69788,457.0722,479.4749,498.5029
Barbados,6.965418,6.96957,7.0164757,7.091297,7.144147,7.199415,7.2157617,6.884477,8.117644,7.650511,7.3732786,7.7383537,7.2730227,7.385999,6.423336,6.83276,6.9711556,6.6088576,7.019272,7.0530257,6.0569825,6.475003,6.475003
Belarus,255.06026,247.9601,256.52615,254.5864,285.08063,284.1503,302.1465,294.77386,298.65997,282.56253,306.24835,300.73288,325.29752,294.82254,294.94397,267.0302,272.84192,277.86877,307.2527,308.8264,286.78275,305.64734,296.8489
