Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,302.59482,236.89185,210.86215,229.96822,204.23125,252.06912,304.4209,354.2799,607.8335,975.04816,1182.892,1436.1143,1324.1211,1060.7926,868.5762,970.0803,862.79114,829.31195,924.25085,802.61255,702.888,676.6956,676.6956
Albania,9029.4375,8635.532,9443.555,10756.612,11586.951,11545.616,10976.728,9534.874,10499.328,11524.428,12377.504,10854.649,10652.809,13392.774,11809.461,11824.314,13823.748,12802.36,14609.701,11585.555,11158.003,14100.432,14100.432
Algeria,9746.524,9961.64,10180.35,10510.461,10759.022,11113.723,11341.98,11759.701,12252.297,12753.12,12243.156,12710.541,13624.909,14130.735,15108.635,15616.311,15295.143,15164,15971.084,16259.053,14933.807,15914.461,15252.127
Angola,1979.2562,2079.732,2143.528,2298.9023,2454.67,2016.8517,2453.2468,2719.0603,3072.024,3368.8357,3560.0942,3594.49,3615.5242,3897.9126,4135.0474,4159.5776,3661.5513,3370.8962,3366.3933,3667.4238,3527.16,2791.3318,2791.3318
Antigua and Barb.,28457.223,28025.29,29660.344,30824.252,31622.059,31734.295,32290.607,33375.836,33637.074,34709.18,33104.54,32616.084,33159.37,32853.875,33313,33830.76,34089.41,32233.041,33026.227,33027.516,27785.227,29464.332,29464.332
Argentina,18849.81,18210.12,17275.256,18326.521,19261.457,20232.844,21038.723,21708.37,21780.38,20954.271,21507.703,21894.867,22494.715,23152.588,22881.006,23046.873,22726.455,22503.818,22163.16,20725.168,19314.066,21328.186,21994.422
Australia,68632.96,68338.28,68892.78,69082.79,70486.32,69917.164,71863.76,72304.695,72089.34,69689.84,68523.875,69714.19,67583.03,67307.04,66744.195,67234.93,66407.09,65146.316,65072.668,66263.54,61826.21,61439.91,63458.84
Austria,48863.28,50421.105,50254.64,50523.203,51139.312,51714.72,50921.684,49669.195,50475.008,48765.184,50240.96,47200.484,49174.594,48493.574,46196.465,45686.785,46698.785,47423.047,46186.543,48314.258,45028.27,45241.05,42685.38
Azerbaijan,16123.289,15361.87,15003.191,16075.374,17986.783,19273.648,18724.746,17015.564,16933.111,14348.922,13958.922,15663.72,15936.576,16085.35,16145.47,17438.53,17089.488,16612.637,16897.24,17546.781,17803.629,18974.334,18747.918
Bahamas,50650.19,50899.527,52098.81,35908.117,39267.47,37244.637,42663.53,48444.41,46670.273,34584.957,35531.06,30982.486,35422.555,32656.572,31772.066,30096.48,31247.096,36977.28,39876.79,39636.066,33301.77,35447.574,35447.574
Bahrain,157253.03,158559.69,165096.56,165859.02,160432.52,166315.33,164833.39,157924.5,154979.23,144448.34,141914.1,140596.47,149451.38,161365.53,153929.6,149472.8,144113.94,143466.25,142291.5,155398.47,156095.8,161111.2,161111.2
Bangladesh,1053.6212,1181.6239,1163.1385,1208.1465,1261.467,1345.851,1438.764,1458.1193,1528.589,1660.9723,1685.9304,1806.3944,1938.1482,1991.1696,2040.6984,2440.7686,2415.728,2494.115,2630.0278,2916.3176,2730.078,2831.1619,2912.0479
Barbados,26318.064,26262.209,26331.5,26508.63,26606.236,26715.06,26681.957,25360.926,29773.459,27941.865,26839.543,28088.297,26331.783,26676.488,23147.074,24569.877,25016.707,23670.777,25095.537,25172.027,21577.828,23025.998,23025.998
Belarus,24868.184,24306.926,25309.941,25292.014,28508.88,28600.459,30598.045,29999.406,30513.402,28957.873,31470.04,30981.086,33557.434,30421.854,30426.229,27527.16,28104.533,28623.031,31689.998,31923.436,29768.562,31910.822,31132.697
Belgium,72420.41,71475.5,70828.99,73221.56,73126.234,71894.96,71647.29,71662.34,72317.91,66274,70300.14,65134.08,62090.016,63218.38,58234.56,58448.152,62694.066,62897.13,62384.855,64152.26,57433.73,63592.086,58395.824
Belize,10038.552,10707.64,10042.477,9553.475,8929.1455,9279.945,10366.804,9503.804,8935.545,9060.757,10492.445,8946.38,9087.132,9683.304,9421.46,10197.744,10002.819,10896.961,9546.048,9883.737,7226.4336,7437.5713,7437.5713
Benin,980.96387,1083.3461,1204.5461,1357.0039,1388.154,1262.3934,1672.0192,1918.3821,1904.8895,2054.215,2287.7693,2071.1877,1909.2642,1889.7343,1940.2653,2083.4993,2467.0088,2540.225,2736.8003,2416.162,2518.621,2484.8179,2484.8179
Bermuda,39297.88,39604.938,41429.88,41114.773,42390.04,44480.98,50145.137,58163.746,55556.035,43647.02,51318.156,33119.836,35803.332,35994.32,46727.742,39425.17,50238.902,49395.46,50863.38,50639.293,46161.586,46490.223,46490.223
Bhutan,8469.052,9100.751,9810.103,10658.221,10014.694,11119.834,17746.78,21903.543,22370.271,22935.088,24284.154,23369.613,22460.117,24615.076,23328.47,24203.82,24692.543,24327.346,23138.41,27251.602,26593.059,27785.357,27785.357
Bolivia,5072.6533,4264.8857,4571.173,6038.8374,6154.9224,5926.305,6410.1855,6767.9814,6827.641,6614.823,6598.9834,6716.6226,7838.919,7813.6904,7770.6777,8018.6577,8176.835,7938.3027,8088.3423,7903.12,6540.533,7062.148,7062.148
Botswana,8308.661,8561.099,8817.649,8856.523,8571.5,8948.104,9380.948,9445.073,9627.653,8820.0205,8901.267,9151.255,8872.199,8641.081,8513.395,10171.935,10964.355,9879.757,9597.184,9467.984,8843.107,9385.398,9385.398
Brazil,13400.32,12893.828,13021.791,13111.923,13593.7,13792.465,14020.683,14770.351,15255.087,15004.24,16220.931,16629.84,16963.494,17221.44,17519.043,17140.15,16591.764,16608.686,16539.11,16681.945,15921.327,16659.977,17299.75
Brunei,58884.86,65610.27,75133.31,76284.74,83202.56,92130.18,139666.8,144318.16,145980.9,95420.39,107111.19,108531.15,104173.734,95693.625,106339.25,116170.31,120051.6,119337.055,122979.12,120314.98,125303.02,103268.1,103268.1
Bulgaria,26859.672,27980.56,27344.377,28474.164,27716.521,30223.08,31003.193,30154.662,30008.596,26486.121,27862.668,29793.07,28532.125,26659.102,28695.912,30739.168,29411.8,30376.139,30743.955,29996.027,27993.87,32216.705,34175.52
Burkina Faso,358.42392,386.41492,392.5639,421.1035,367.58755,378.25854,361.50507,496.80994,526.8172,480.64005,509.41,563.3461,644.37476,749.67834,677.6461,836.0298,780.0771,878.57794,950.3871,946.95734,878.9815,904.72614,904.72614
Burundi,261.95847,217.60869,200.19261,157.22882,174.65433,145.98683,163.21136,246.2004,155.42688,149.19579,199.67647,226.62114,205.98769,216.88063,196.12764,193.7544,208.42976,246.89967,290.7686,309.34055,289.06625,293.8886,293.8886
